Startup Data
name,city,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_first_milestone_year,funding_rounds,funding_total_usd,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
WiChorus,San Jose,1/1/2005,,12/22/2005,11/4/2008,0.9726,2.0,4,42500000,mobile,1,0,1,1,1,0,2.5,1,acquired
Hatteras Networks,Durham,1/1/2000,,6/8/2005,6/1/2006,5.4384,6.0055,2,36000000,software,1,0,0,0,0,1,3.5,1,acquired
Focus,San Francisco,8/1/2005,9/15/2012,3/6/2008,3/6/2008,2.5973,2.9178,1,12170000,enterprise,0,0,0,0,1,0,3.0,1,closed
easy2comply (Dynasec),New York,1/1/2002,,10/2/2007,10/2/2007,5.7534,8.0055,1,1000000,software,0,0,1,0,0,0,3.0,1,acquired
Socialize,San Francisco,7/1/2008,,11/1/2011,6/7/2012,3.337,-2.4986,3,1820000,mobile,0,1,0,0,0,0,1.0,0,acquired
Clearwire,Kirkland,10/1/2003,,5/6/2008,2/27/2013,4.6,5.2575,4,5700000000,mobile,0,0,0,0,0,0,4.25,1,acquired
CREDANT Technologies,Addison,1/1/2001,,12/20/2007,12/20/2007,6.9699,0.0849,1,5000000,security,0,0,0,0,1,0,5.0,1,acquired
Exclusively.in,New York,1/1/2010,,11/3/2010,5/29/2011,0.8384,1.6356,2,18800000,fashion,0,0,1,1,0,0,2.5,1,acquired
Avidia,Mountain View,1/1/2003,,5/6/2005,5/9/2006,2.3452,,2,72300000,advertising,0,0,0,1,1,0,4.5,1,acquired
PayDivvy,Irvine,3/6/2009,,1/15/2009,4/27/2012,-0.13700000000000000,-2.0932,3,1310000,social,0,1,0,0,0,0,1.0,0,acquired
Octavian,Woburn,1/1/2003,2/1/2011,6/1/2005,10/10/2007,2.4164,4.0027,2,15000000,software,0,0,1,1,0,0,2.5,1,closed
KickApps,New York,3/1/2004,,6/1/2006,11/25/2008,2.2521,5.3370000000000000,3,39007789,enterprise,0,0,1,1,1,0,3.0,1,acquired
Airwide Solutions,Burlington,1/1/2004,,1/25/2006,1/25/2006,2.0685,-1.9151,1,25000000,software,0,0,0,0,0,1,5.0,1,acquired
Localocracy,Boston,1/1/2009,,5/1/2009,2/4/2011,0.3288,1.3288,3,172500,web,0,1,0,0,0,0,1.0,0,acquired
Pixable,New York City,3/12/2009,,11/10/2010,4/22/2011,1.6658,2.3041,2,6100000,social,0,0,1,1,0,0,1.0,1,acquired
mFoundry,Larkspur,1/1/2004,,3/21/2006,12/5/2011,2.2192,1.6685,3,40300000,mobile,1,0,0,1,1,0,4.0,1,acquired
Bevvy,Los Angeles,1/8/2011,1/1/2012,5/20/2011,5/20/2011,0.3616,0.3753,1,100000,ecommerce,0,1,0,0,0,0,1.0,0,closed
Livemocha,Seattle,9/1/2007,,1/1/2008,2/25/2013,0.3342,2.7507,5,19389998,education,1,0,1,1,1,0,1.5,1,acquired
IronPort Systems,San Bruno,1/1/2000,,6/25/2002,10/25/2004,2.4822,5.5863,2,61500000,hardware,0,0,0,1,0,1,4.0,1,acquired
Crowdcast,San Francisco,1/1/2007,,6/10/2010,6/10/2010,3.4411,4.0027,1,6000000,software,0,0,1,0,0,0,2.0,1,acquired
Where,Boston,1/1/2004,,12/31/2003,1/1/2009,-0.0027,4.9507,4,19100000,mobile,0,0,1,1,1,0,2.5,1,acquired
Pictela,New York,10/17/2008,,1/6/2009,11/6/2010,0.2219,0.0411,4,3499997,advertising,1,0,1,0,0,0,1.5,1,acquired
Grouply,Redwood City,3/1/2006,1/1/2012,6/1/2007,1/14/2008,1.2521,4.7178,3,2600000,network_hosting,0,1,1,0,0,0,3.6667,1,acquired
Storify,San Francisco,12/11/2009,,7/1/2009,2/3/2011,-0.4466,3.0603,3,2023000,web,0,1,1,0,0,0,1.3333,1,acquired
Axiom Microdevices,Irvine,1/1/2002,,2/8/2007,2/8/2007,5.1068,,1,25000000,semiconductor,1,0,0,0,0,0,4.0,1,acquired
ShoeDazzle,Santa Monica,3/1/2009,,11/19/2009,10/3/2012,0.7205,2.8384,4,66000000,fashion,1,0,1,1,1,0,2.3333,1,acquired
LiftDNA,New York,9/1/2009,,2/1/2011,2/11/2011,1.4192,1.663,2,1000000,advertising,0,1,0,0,0,0,3.5,0,acquired
Onavo,Palo Alto,1/1/2010,,5/1/2011,1/24/2012,1.3288,3.2493,2,13000000,mobile,0,0,1,1,0,0,3.0,1,acquired
Pyxis Mobile,Waltham,1/1/1998,8/1/2012,9/9/2005,1/10/2012,7.6932,12.5041,3,24150000,software,1,0,1,1,0,0,2.3333,1,closed
Link_A_Media Devices,Santa Clara,1/1/2004,1/1/2013,11/2/2009,3/20/2012,5.8411,,3,47218498,semiconductor,1,0,0,0,1,1,3.3333,1,closed
Guardium,Waltham,1/1/2002,,8/12/2005,5/17/2006,3.6137,0.0,2,11800000,search,0,0,0,0,1,1,4.5,1,acquired
Trooval,Henderson,9/1/2008,2/1/2011,4/7/2010,11/5/2010,1.5973,0.0822,2,2387481,analytics,1,0,0,0,0,0,1.0,1,closed
Compete,Boston,1/1/2000,,11/1/2000,8/1/2007,0.8356,11.589,4,33000000,consulting,1,0,1,1,1,0,2.5,1,acquired
Rollstream,McLean,1/1/2005,,9/3/2007,11/18/2008,2.6712,4.0027,2,7500000,software,0,0,1,1,0,0,1.5,1,acquired
NeoGuide Systems,San Jose,1/1/2000,,9/29/2006,9/29/2006,6.7479,4.0027,1,25000000,biotech,0,0,0,0,1,0,1.0,1,acquired
Accept Software,Santa Clara,1/1/2002,,9/16/2005,12/14/2010,3.7096,4.0027,4,25305000,software,1,0,1,1,1,0,2.0,1,acquired
Milo,Palo Alto,1/1/2008,,11/1/2008,11/24/2009,0.8356,2.3014,2,4950000,web,0,1,1,0,0,0,12.5,1,acquired
Mimosa Systems,Santa Clara,8/29/2003,,12/5/2005,1/12/2010,2.2712,,6,53816776,software,1,0,0,1,1,1,5.0,1,acquired
Surphace,New York,6/1/2005,,4/1/2005,5/1/2006,-0.1671,2.674,2,3500000,web,0,0,1,1,0,0,5.5,1,acquired
Cloudmeter,Mountain View,4/1/2007,,4/27/2012,4/27/2012,5.0767,4.7562,1,5000000,enterprise,0,0,1,0,0,0,1.0,0,acquired
Zecter,Burlingame,6/1/2007,,6/1/2007,12/14/2009,0.0,3.7699,3,2515000,network_hosting,1,1,1,0,0,0,1.6667,1,acquired
Dimdim,Lowell,1/1/2006,,2/1/2007,7/1/2008,1.0849,2.5205,2,8400000,web,0,0,1,1,0,0,2.0,1,acquired
TeleFlip,Santa Monica,1/1/2004,1/1/2008,8/1/2006,1/1/2008,2.5836,2.0301,2,4900000,mobile,0,0,1,1,0,0,1.0,1,closed
MessageGate,Bellevue,1/1/2001,7/16/2012,4/18/2005,4/18/2005,4.2959,5.0027,1,5000000,software,1,0,0,0,0,0,5.0,1,closed
Cloverleaf Communications,Woodbury,1/1/2001,,6/28/2005,6/28/2005,4.4904,,1,11000000,public_relations,0,0,0,0,1,0,3.0,1,acquired
SkyPilot Networks,Santa Clara,1/1/2000,,1/1/2001,4/1/2008,1.0027,,4,68400000,mobile,1,0,1,0,1,1,4.0,1,acquired
Zencoder,San Francisco,1/1/2007,,2/1/2010,4/12/2011,3.0877,3.6356,2,2000000,software,0,1,1,0,0,0,8.5,1,acquired
Storm Exchange,New York,4/1/2006,3/12/2009,12/1/2006,3/4/2008,0.6685,0.0,2,10800000,enterprise,1,0,1,0,0,0,2.0,1,closed
The Huffington Post,New York,5/9/2005,,5/1/2005,8/1/2010,-0.0219,5.7616,5,37000000,news,1,0,1,1,1,0,2.5,1,acquired
Exaprotect,Mountain View,1/1/2004,,7/10/2006,7/10/2006,2.5233,4.0027,1,7660000,security,0,0,1,0,0,0,6.0,1,acquired
Akorri Networks,Littleton,1/1/2005,,5/5/2005,3/23/2010,0.3397,3.0,4,48730000,software,1,0,1,1,1,0,3.0,1,acquired
Giiv,Los Angeles,1/1/2009,8/1/2012,1/1/2009,6/1/2010,0.0,1.4137,2,3350000,messaging,0,1,1,0,0,0,2.5,1,closed
MyShape,Glendale,9/1/2003,4/1/2013,7/17/2007,11/10/2010,3.8767,2.6658,4,28000000,ecommerce,1,0,0,1,1,0,3.0,1,closed
BlackLocus,Austin,1/1/2010,,7/1/2011,7/1/2011,1.4959,2.0849,1,2500000,analytics,0,0,1,0,0,0,2.0,1,acquired
FeedBurner,Chicago,2/1/2004,,6/1/2004,4/1/2005,0.3315,2.0795,2,8000000,web,0,0,1,1,0,0,4.0,1,acquired
DailyBurn,New York,10/1/2007,,5/1/2008,5/26/2009,0.5836,0.6329,2,540000,web,0,1,0,0,0,0,2.5,1,acquired
CastTV,San Francisco,1/1/2006,,1/1/2006,4/1/2007,0.0,1.0,2,3100000,games_video,0,1,1,0,0,0,2.0,1,acquired
Venmo,New York,4/4/2009,,5/7/2010,8/1/2011,1.0904,2.8301,2,1200000,mobile,0,1,1,0,0,0,6.0,1,acquired
WeShow,New York,6/1/2007,12/2/2008,6/1/2007,6/1/2007,0.0,0.1096,1,5000000,games_video,0,0,1,0,0,0,2.0,0,closed
SenSage,San Francisco,8/18/2004,,4/18/2005,1/1/2012,0.6658,2.3726,6,37079000,security,1,0,0,0,1,1,3.8,1,acquired
Luminus Devices,Billerica,1/1/2002,,5/1/2006,3/1/2013,4.3315,8.7041,4,135826373,other,0,0,0,1,0,1,4.3333,1,acquired
Tapioca Mobile,San Diego,1/1/2008,7/9/2012,9/1/2007,3/25/2008,-0.3342,,2,5000000,mobile,1,1,0,0,0,0,1.0,1,closed
BestVendor,New York,1/1/2011,,3/18/2011,2/1/2012,0.2082,0.1616,4,4200000,software,0,1,1,0,0,0,3.0,1,acquired
Local Marketers,Seattle,1/1/2005,2/3/2011,7/31/2008,7/31/2008,3.5808,-1.0027,1,4100000,web,1,0,0,0,0,0,1.0,1,closed
Eyeona,Los Gatos,1/1/2011,11/1/2012,10/10/2011,10/10/2011,0.7726,0.3123,1,2000000,web,0,0,0,0,0,0,1.0,0,closed
ColdSpark,Broomfield,1/1/2001,,1/1/2006,1/1/2006,5.0027,5.4986,1,6500000,software,1,0,0,0,0,0,1.0,1,acquired
Etology,Foster City,6/1/2005,12/25/2011,11/13/2006,11/13/2006,1.4521,,1,4000000,web,0,0,1,0,0,0,3.0,0,closed
Wander (f. YongoPal),Mountain View,1/1/2010,7/1/2013,4/1/2010,1/1/2011,0.2466,1.1616,5,185000,mobile,1,1,0,0,0,0,2.0,1,closed
CrowdCompass,Portland,4/1/2009,,12/11/2011,12/11/2011,2.6959,3.2192,1,1300000,mobile,0,0,1,0,0,0,1.0,0,acquired
Right Media,New York,1/1/2003,,10/17/2006,10/17/2006,3.7945,,1,45000000,advertising,0,0,0,1,0,0,1.0,0,acquired
Goby,Boston,7/1/2008,,10/20/2010,10/20/2010,2.3041,-0.3342,1,2500000,search,0,0,1,0,0,0,2.0,1,acquired
FiveRuns,Austin,2/1/2005,,9/1/2005,10/28/2007,0.5808,1.9151,2,9200000,web,0,0,1,1,0,0,1.0,1,acquired
GeekStatus,Beverly Hills,8/1/2010,6/1/2013,2/10/2009,6/12/2010,-1.4712,,4,435953,web,0,1,0,0,0,0,1.0,0,closed
MOLI,Hartford,1/1/2008,5/24/2010,1/1/2007,1/1/2008,-1.0,-1.5863,2,55600000,network_hosting,0,0,1,1,0,0,2.0,0,closed
TrenStar,Greenwood Village,1/1/2001,,4/6/2007,4/6/2007,6.263,1.0,1,10000000,software,1,0,0,0,0,0,1.0,0,acquired
World Blender,Seattle,1/1/2010,2/1/2011,11/1/2010,11/1/2010,0.8329,0.6658,1,12000,games_video,0,1,0,0,0,0,1.0,1,closed
Zymetis,College Park,1/1/2006,12/7/2012,1/11/2010,1/31/2010,4.0301,,2,2257464,biotech,1,0,0,0,0,0,1.0,0,closed
Dispatch,New York,5/1/2011,,7/1/2011,11/10/2011,0.1671,0.1671,2,983000,messaging,0,1,0,0,0,0,6.0,1,acquired
HauteLook,Los Angeles,12/1/2007,,5/12/2009,6/3/2010,1.4466,2.5014,2,41000000,fashion,0,0,0,1,1,0,1.5,1,acquired
Semantra,Addison,1/1/2003,4/25/2010,9/1/2006,7/22/2008,3.6685,,3,9100000,software,1,0,0,1,1,0,1.0,0,closed
Inertia Beverage Group,Napa,10/22/2004,1/16/2013,4/2/2007,1/1/2012,2.4438,-2.0575,3,25500100,software,1,0,0,1,0,0,2.5,1,closed
Sponge,San Francisco,1/1/2010,,4/19/2010,4/19/2010,0.2959,1.5863,1,400000,web,0,1,0,0,0,0,1.0,1,acquired
Genesis Networks,New York,1/1/2002,,9/26/2006,5/6/2010,4.737,,10,22165091,network_hosting,1,0,0,1,0,0,2.0,1,acquired
Mogad,San Francisco,6/1/2007,,8/1/2007,8/1/2007,0.1671,0.6712,1,500000,network_hosting,0,0,1,0,0,0,4.0,1,acquired
Meebo,Mountain View,2/1/2005,,10/1/2005,12/20/2010,0.6630000000000000,6.211,5,70000000,web,0,0,1,1,1,1,2.8,1,acquired
Accertify,Itasca,3/1/2007,,6/3/2008,5/4/2010,1.2603,2.8411,2,4700000,security,1,0,1,0,0,0,1.0,1,acquired
N2N Commerce,Cambridge,1/1/2006,1/1/2008,1/3/2008,1/3/2008,2.0055,0.0,1,30000000,ecommerce,1,0,0,0,0,0,2.0,1,acquired
StreamBase Systems,Lexington,1/1/2003,,1/24/2005,5/18/2012,2.0658,7.0055,5,39000000,software,0,0,0,1,1,1,3.25,1,acquired
Provigent,Santa Clara,1/1/2000,,6/7/2006,12/29/2008,6.4356,10.0082,3,32000000,semiconductor,0,0,0,0,0,1,3.0,1,acquired
Navic Networks,Waltham,1/3/2000,,2/14/2000,2/26/2001,0.1151,,3,42000000,advertising,0,0,1,1,1,0,2.6667,1,acquired
Integrien,Irvine,1/1/2001,,5/16/2005,5/11/2010,4.3726,4.0027,3,24510540,enterprise,1,0,1,1,0,0,2.6667,1,acquired
Generic Media,Palo Alto,1/1/2000,1/28/2011,8/26/2005,8/26/2005,5.6548,,1,2500000,software,1,0,0,0,0,0,2.0,1,closed
Persystent Technologies,Tampa,1/1/2002,,8/8/2005,12/3/2009,3.6027,8.5945,3,21460663,software,0,0,0,1,1,1,4.5,1,acquired
WireImage,New York,1/1/2001,,5/8/2006,5/8/2006,5.3507,,1,15000000,games_video,0,0,0,0,1,0,4.0,1,acquired
Hello Chair,San Francisco,1/1/2006,7/1/2013,6/1/2007,4/12/2010,1.4137,1.3288,2,889999,mobile,1,1,0,0,0,0,3.5,1,closed
Encentuate,Foster City,1/1/2001,,3/22/2005,3/22/2005,4.2219,3.0,1,16000000,software,0,0,0,1,0,0,3.0,1,acquired
Consorte Media,San Francisco,7/1/2005,,12/1/2007,12/1/2007,2.4192,2.5041,1,7000000,web,0,0,0,1,0,0,2.0,1,acquired
Triples Media,New York,6/1/2010,7/1/2013,3/1/2011,3/1/2011,0.7479,,2,100000,advertising,0,1,0,0,0,0,1.0,0,closed
RightsFlow,New York,10/1/2007,,8/26/2009,8/26/2009,1.9041,1.9041,1,1500000,music,0,0,1,0,0,0,1.0,0,acquired
thePlatform,Seattle,1/1/2000,,1/12/2006,1/12/2006,6.0356,10.4959,1,8000000,web,1,0,0,0,0,0,1.0,1,acquired
Docstoc,Santa Monica,8/1/2007,,11/1/2007,4/28/2008,0.2521,4.2082,2,4000000,web,0,0,1,1,0,0,3.0,1,acquired
TwtBks,San Francisco,6/20/2009,3/3/2012,6/26/2009,6/26/2009,0.0164,,1,25000,web,0,1,0,0,0,0,1.0,0,closed
Zenprise,Redwood City,1/1/2003,,6/6/2005,1/1/2012,2.4301,8.5781,6,64630000,mobile,1,0,0,1,1,0,3.6667,1,acquired
Picateers,San Mateo,1/1/2005,11/1/2011,1/1/2006,8/25/2008,1.0,3.4986,2,12100000,web,0,0,1,1,0,0,1.0,1,closed
Vontu,San Francisco,1/1/2001,,3/21/2005,8/11/2006,4.2192,5.0027,2,20000000,software,0,0,0,0,1,1,4.5,1,acquired
NextIO,Austin,1/1/2003,7/1/2013,1/11/2005,5/17/2012,2.0301,9.0055,4,49600000,hardware,0,0,0,1,1,0,2.6667,1,closed
Emergent Game Technologies,Calabasas,1/1/2000,,7/5/2007,12/10/2009,7.5123,0.4164,5,51450000,games_video,1,0,0,0,0,1,5.6667,1,acquired
threadsy,San Francisco,6/1/2008,,3/27/2008,12/7/2010,-0.1808,4.6904,2,6300000,messaging,0,0,1,1,0,0,2.0,1,acquired
Sonar.me,New York,1/1/2010,7/17/2013,1/1/2012,1/1/2012,2.0,1.0274,1,200000,mobile,0,1,0,0,0,0,2.0,1,closed
StyleZen,Cincinnati,9/1/2011,4/1/2013,9/1/2011,9/1/2011,0.0,0.0,1,20000,fashion,0,1,0,0,0,0,1.0,0,closed
Kiva Systems,North Reading,1/1/2003,,1/1/2003,5/24/2006,0.0,6.9781,2,11600000,hardware,0,0,1,0,1,0,2.0,1,acquired
Krillion,Mountain View,5/1/2006,,6/14/2006,6/14/2006,0.1205,-0.2438,1,9150000,web,0,0,1,0,0,0,2.0,1,acquired
Transactiv,Cincinnati,7/1/2009,7/19/2013,10/13/2009,10/13/2009,0.2849,0.0,1,1200000,advertising,0,0,1,0,0,0,4.0,1,closed
nprogress,Los Angeles,2/1/2010,1/1/2012,12/1/2011,12/1/2011,1.8301,1.1616,1,1700000,social,0,0,0,0,0,0,7.0,1,closed
Brightkite,Burlingame,1/1/2007,12/1/2011,8/1/2007,7/6/2009,0.5808,0.5918,3,1415000,social,1,1,0,0,0,0,1.0,1,acquired
Peanut Labs,San Francisco,1/1/2005,,2/1/2006,2/19/2008,1.0849,5.9178,2,4200000,enterprise,0,0,1,1,0,0,1.5,1,acquired
FlipKey,Boston,1/1/2007,,12/1/2007,8/20/2008,0.9151,4.8521,2,500000,web,0,1,1,0,0,0,2.0,0,acquired
AppTrigger,Richardson,1/1/2002,,12/13/2007,12/13/2007,5.9507,,1,21500000,public_relations,0,0,0,0,1,0,4.0,1,acquired
Footnote,Lindon,6/1/2006,,6/16/2006,1/1/2008,0.0411,2.2795,2,10000000,web,0,0,1,0,0,0,2.0,0,acquired
NextMedium,Los Angeles,1/1/2004,12/24/2011,2/1/2005,7/24/2006,1.0877,4.0027,2,9500000,software,0,0,1,1,0,0,2.5,1,closed
iosil Energy,Albuquerque,1/1/2007,3/4/2012,12/24/2009,3/17/2012,2.9808,,2,13875001,cleantech,0,0,0,0,0,0,10.0,1,closed
Kurani Interactive,Red Bank,1/1/2000,6/1/2013,11/25/2010,11/25/2010,10.9068,9.2548,1,275000,software,0,1,0,0,0,0,2.0,0,closed
Kapow Software,Palo Alto,1/1/2005,,2/1/2005,1/13/2010,0.0849,1.8329,3,19743770,software,0,0,0,1,1,0,2.5,1,acquired
Locately,Boston,7/1/2008,,8/1/2010,7/7/2012,2.0849,2.5041,5,1178000,software,0,1,0,0,0,0,5.0,1,acquired
TrustedID,Palo Alto,1/1/2005,,10/1/2005,10/18/2007,0.7479,2.0575,3,25000000,security,0,0,1,1,0,0,2.0,1,acquired
Ciclon Semiconductor Device Corporation,Bethlehem,1/1/2004,,8/2/2005,3/7/2007,1.5863,,3,24150000,semiconductor,1,0,1,1,0,0,2.0,1,acquired
Azingo,Sunnyvale,1/1/2005,8/11/2009,10/1/2006,7/18/2008,1.7479,2.0,2,80000000,mobile,0,0,1,1,0,0,1.0,0,closed
Vudu,Santa Clara,1/1/2004,,6/1/2005,4/29/2007,1.4164,4.4192,2,36000000,hardware,0,0,1,1,0,0,3.5,1,acquired
"ITOG, Inc.",Saint Louis,9/19/2006,4/16/2010,2/11/2008,2/11/2008,1.3973,,1,205000,network_hosting,0,1,0,0,0,0,1.0,0,closed
Plaxo,Sunnyvale,11/17/2002,,11/1/2002,2/1/2007,-0.0438,6.4164,4,28300000,web,0,0,1,1,1,1,2.5,1,acquired
Sharetivity,Palo Alto,7/7/2007,11/11/2012,5/1/2006,5/1/2006,-1.1836,0.8301,1,2000000,web,0,0,0,0,0,0,1.0,0,closed
YouTube,San Bruno,2/1/2005,,11/1/2005,4/1/2006,0.7479,2.4,2,11500000,games_video,0,0,1,1,0,0,1.0,1,acquired
Hashable,New York City,1/1/2010,7/25/2012,11/22/2010,11/22/2010,0.8904,1.3288,1,4000000,mobile,0,0,1,0,0,0,3.0,1,closed
MyNines,New York,8/1/2009,8/5/2011,4/19/2010,4/19/2010,0.7151,0.7479,1,500000,ecommerce,0,1,0,0,0,0,1.0,1,closed
itzbig,Austin,6/1/2006,3/24/2010,2/27/2007,2/27/2007,0.7425,1.1671,1,4000000,search,0,0,1,0,0,0,2.0,1,closed
Loosecubes,Brooklyn,1/1/2010,1/1/2012,1/1/2010,6/5/2012,0.0,2.4274,2,9030000,web,0,1,1,0,0,0,4.0,1,closed
Avid Radiopharmaceuticals,Philadelphia,1/1/2005,,1/25/2005,5/21/2009,0.0658,,4,69900000,biotech,0,1,1,0,1,1,4.75,1,acquired
Contur,Los Angeles,9/1/2011,11/1/2012,5/1/2012,5/1/2012,0.6658,0.4192,1,20000,messaging,0,1,0,0,0,0,1.0,0,closed
ExactTarget,Indianapolis,12/1/2000,,7/21/2004,10/24/2012,3.6384,10.9836,7,238209999,software,1,0,0,0,0,0,2.0,1,acquired
Rhythmia Medical,Burlington,1/1/2004,,2/6/2007,9/24/2010,3.1014,4.0027,3,14700000,medical,1,0,0,1,0,0,1.0,0,acquired
MyMiniLife,Palo Alto,1/1/2007,,11/15/2006,11/15/2007,-0.1288,-0.5863,3,430000,games_video,0,1,0,0,0,0,1.6667,0,acquired
Adept Cloud,San Mateo,6/1/2011,,10/1/2012,11/1/2012,1.337,0.5863,2,1015000,enterprise,1,0,1,0,0,0,1.0,0,acquired
Factery,Menlo Park,4/1/2009,1/17/2013,9/10/2009,9/10/2009,0.4438,0.8192,1,1200000,web,1,0,0,0,0,0,2.0,1,closed
"MeetMe, Inc.",New Hope,4/1/2005,,1/29/2007,7/29/2008,1.8301,3.274,2,17100000,web,0,0,1,1,0,0,2.5,1,acquired
WildBlue,Englewood,1/1/2004,,9/3/2008,9/3/2008,4.6767,5.9671,1,50000000,web,1,0,0,0,0,0,4.0,1,acquired
HeadCase Humanufacturing,Los Angeles,1/1/2006,1/1/2012,8/28/2006,8/28/2006,0.6548,,1,900000,software,0,0,1,0,0,0,1.0,1,closed
bluepulse,San Mateo,4/10/1990,1/1/2010,4/1/2007,4/1/2007,16.9863,16.663,1,6000000,network_hosting,0,0,1,0,0,0,1.0,1,closed
Mr. Youth,New York,1/1/2002,,10/1/2002,2/1/2009,0.7479,8.0055,2,15100000,advertising,0,1,1,0,0,0,1.0,0,acquired
Teknovus,Petaluma,1/1/2001,,1/1/2002,11/16/2009,1.0,4.0027,5,62600000,semiconductor,1,0,1,1,1,1,9.3333,1,acquired
Qik,Redwood City,6/1/2006,,4/9/2008,1/6/2011,1.8575,3.9178,4,14800000,mobile,1,0,0,1,1,0,2.25,1,acquired
EQAL,North Hollywood,4/1/2008,,4/16/2008,5/23/2011,0.0411,1.8466,2,6875000,web,1,0,1,0,0,0,7.0,1,acquired
IonLogix Systems,Waco,12/11/2007,2/2/2011,10/24/2008,10/24/2008,0.8712,,1,30000,software,0,1,0,0,0,0,1.0,0,closed
Atrica,Santa Clara,1/1/2000,12/13/2007,4/5/2006,4/5/2006,6.263,6.0055,1,22200000,public_relations,0,0,0,0,0,0,9.0,1,closed
Socialthing,Boulder,5/18/2007,,8/1/2007,10/23/2007,0.2055,0.4685,2,415000,network_hosting,0,1,0,0,0,0,1.0,1,acquired
Next New Networks,New York,3/1/2007,,1/1/2007,12/29/2010,-0.1616,3.0027,4,27063781,web,0,0,1,1,1,0,3.5,1,acquired
AdECN,Carpinteria,1/1/2003,,2/1/2006,2/1/2006,3.0877,5.0027,1,3100000,advertising,0,0,1,0,0,0,5.0,1,acquired
Cuil,Menlo Park,1/1/2005,9/1/2010,3/1/2007,4/15/2008,2.1616,3.4986,2,33000000,search,0,0,1,1,0,0,2.5,1,closed
Sensory Networks,Mountain View,1/1/2003,,10/10/2005,1/1/2008,2.7753,4.1644,3,17400000,web,1,0,0,0,1,0,5.0,1,acquired
Flock,Menlo Park,1/1/2005,,1/1/2005,5/21/2008,0.0,5.3973,5,28300000,web,0,1,1,1,1,1,2.0,1,acquired
AdMob,Mountain View,12/1/2006,,9/1/2006,1/29/2009,-0.2493,1.411,4,46800000,advertising,0,0,1,1,1,0,2.5,1,acquired
FeeFighters,Chicago,1/1/2009,,5/1/2010,1/12/2011,1.3288,2.0,3,1525000,ecommerce,0,1,0,0,0,0,2.6667,1,acquired
WeHostels,New York City,11/15/2011,,3/18/2012,3/18/2012,0.3397,0.5452,1,1200000,travel,0,1,0,0,0,0,5.0,1,acquired
TimeBridge,Mountain View,5/1/2005,,7/5/2005,5/11/2009,0.1781,3.674,3,12400000,web,1,0,1,1,0,0,1.6667,1,acquired
Lazarus Therapeutics,West Chester,1/1/2006,2/1/2012,8/2/2010,8/2/2010,4.5863,,1,100000,biotech,1,0,0,0,0,0,1.0,1,closed
Loyalty Lab,San Francisco,1/1/2003,,3/22/2005,4/29/2010,2.2219,7.0055,3,11000000,software,1,1,0,1,0,0,1.6667,1,acquired
RentStuff.com,Nashville,1/1/2010,,5/5/2011,4/12/2012,1.3397,1.0,2,675000,web,0,1,0,0,0,0,1.5,0,acquired
ZManda,Sunnyvale,1/1/2005,,1/1/2005,5/22/2007,0.0,,2,13000000,software,0,0,1,1,0,0,2.5,1,acquired
Jumo,New York,2/1/2010,,11/1/2010,11/1/2010,0.7479,1.0329,1,3500000,social,0,0,0,0,0,0,2.0,1,acquired
Sionex,Bedford,1/1/2001,8/6/2010,12/7/2005,12/7/2005,4.9342,0.0,1,12000000,hardware,0,0,0,0,1,0,4.0,1,closed
sezmi,Belmont,1/1/2007,,8/1/2007,11/7/2011,0.5808,0.9068,5,78573646,games_video,0,0,1,1,1,0,4.3333,1,acquired
StudioNow,Nashville,1/1/2007,,6/15/2007,1/29/2013,0.4521,3.7425,3,15286415,photo_video,0,0,1,0,0,0,1.0,0,acquired
PicApp,San Francisco,1/1/2008,,9/17/2008,9/17/2008,0.7123,1.5836,1,3200000,web,0,0,1,0,0,0,1.0,1,acquired
Million Dollar Earth,Puyallup,3/1/2011,10/1/2012,3/7/2011,3/7/2011,0.0164,0.0,1,30000,advertising,0,1,0,0,0,0,2.0,0,closed
Composite Software,San Mateo,1/1/2002,,1/1/2002,10/24/2012,0.0,9.5863,3,14650003,software,0,1,0,0,0,1,1.0,0,acquired
Terracotta,San Francisco,1/1/2003,,2/27/2006,9/1/2008,3.1589,9.0055,2,23500000,software,1,0,0,1,0,0,5.0,1,acquired
FireStar Software,Boxborough,1/1/2001,4/29/2010,1/3/2006,1/3/2006,5.0082,,1,980000,software,0,0,0,0,0,0,1.0,0,closed
Aquest Systems,Sunnyvale,1/1/2004,11/10/2010,2/26/2007,2/26/2007,3.1562,,1,20000000,hardware,0,0,0,1,0,0,3.0,1,closed
Faves,Seattle,12/1/2004,12/31/2011,1/1/2004,1/1/2004,-0.9178,,1,1500000,web,0,0,0,0,0,0,3.0,0,closed
Generate,Santa Monica,1/1/2004,,3/4/2008,7/14/2009,4.1753,6.3836,2,8000000,games_video,0,0,1,0,0,0,1.5,1,acquired
Attributor,San Mateo,10/1/2005,,1/28/2006,6/10/2010,0.326,3.2548,4,25200000,software,0,0,1,1,1,1,4.0,1,acquired
Greenplum Software,San Mateo,6/1/2003,,3/1/2006,1/1/2008,2.7507,7.9205,4,61000000,software,0,0,1,1,1,0,3.0,1,acquired
PlaySpan,Santa Clara,5/1/2006,,9/1/2007,8/19/2010,1.337,2.0822,4,46300000,games_video,1,0,1,1,1,0,4.25,1,acquired
